"player_id","_c1"
"barlomi01","0"
"barloto01","48"
"barmebr01","1"
"barmecl01","69"
"barnaba01","39"
"barnach01","3"
"barnebi01","2"
"barnebo01","0"
"barnebr01","1"
"barneda01","66"
"barneed01","16"
"barneep01","0"
"barnefr01","1"
"barnefr02","2"
"barneho01","0"
"barneje01","14"
"barnejo01","5"
"barneju01","0"
"barnela01","2"
"barnelu01","5"
"barnere01","82"
"barnere02","5"
"barneri01","NULL"
"barnero01","126"
"barnesa01","2"
"barnesk01","28"
"barnevi01","8"
"barnhcl01","85"
"barnhed01","0"
"barnhle01","0"
"barnhvi01","21"
"barnibi01","21"
"barnige01","1"
"barnoed01","0"
"barnwch01","2"
"barojsa01","0"
"baronda01","1"
"barondi01","0"
"barracu01","11"
"barrage01","11"
"barrbo01","22"
"barrbo02","0"
"barre01","7"
"barrebi01","1"
"barrebi02","62"
"barrebo01","29"
"barredi01","7"
"barrefr01","3"
"barreji01","114"
"barrejo01","99"
"barrema01","1"
"barrema02","94"
"barremi01","55"
"barrere01","6"
"barreti01","0"
"barreto01","5"
"barrifr01","NULL"
"barrijo01","2"
"barrima01","0"
"barrji01","7"
"barrocu01","5"
"barrofr01","13"
"barrofr02","0"
"barrore01","3"
"barroto01","22"
"barrsc01","5"
"barrst01","NULL"
"barryed01","2"
"barryha01","0"
"barryja01","75"
"barryje01","19"
"barryke01","0"
"barryri01","4"
"barrysh01","90"
"barryto01","0"
"bartedi01","118"
"barteki01","32"
"barthbo01","0"
"barthji01","0"
"barthjo01","0"
"barthle01","0"
"bartito01","32"
"bartlbi01","1"
"bartlbo01","0"
"bartlir01","5"
"bartlja01","90"
"bartobo01","23"
"bartobr01","23"
"bartocl01","0"
"bartoda01","9"
"bartoda02","79"
"bartoha01","5"
"bartosh01","0"
"bartovi01","45"
"bartsch01","7"
"barziph01","0"
"basakch01","0"
"basgamo01","25"
"bashaal01","3"
"bashowa01","1"
"basined01","30"
"baskeji01","3"
"bassan01","0"
"bassbr01","0"
"bassdi01","0"
"bassdo01","1"
"bassech01","64"
"bassjo01","18"
"basske01","83"
"bassljo01","45"
"bassno01","4"
"bassra01","13"
"bastaan01","0"
"bastich01","63"
"batchem01","64"
"batchjo01","0"
"batchri01","0"
"batemjo01","51"
"batesaa01","2"
"batesbi01","6"
"batesbu01","8"
"batesch01","5"
"batesde01","1"
"batesdi01","0"
"batesfr01","5"
"batesja01","42"
"batesjo01","0"
"batesjo02","91"
"batesra01","47"
"bathebi01","9"
"batiske01","1"
"batiski01","17"
"batismi01","6"
"batisra01","2"
"batisto01","96"
"batscbi01","0"
"battala01","0"
"batteea01","70"
"battege01","0"
"battijo01","42"
"battlal01","20"
"battlho01","3"
"battlji01","1"
"battoch01","NULL"
"battsma01","38"
"baueral01","2"
"bauerha01","97"
"bauerlo01","0"
"bauerri01","0"
"bauerru01","7"
"baughju01","24"
"baumafr01","8"
"baumapa01","35"
"baumeji01","2"
"baumgge01","8"
"baumgha01","0"
"baumgjo01","3"
"baumgro01","0"
"baumgst01","5"
"baumhfr01","96"
"bausege01","1"
"bautaed01","0"
"bautida01","64"
"bautide01","0"
"bautijo01","1"
"bautijo02","109"
"baxesji01","35"
"baxesmi01","31"
"baxtemi01","6"
"baxtemo01","1"
"bayha01","94"
"bayja01","110"
"bayledi01","7"
"baylijo01","0"
"baylodo01","120"
"baynebi01","11"
"bazaryo01","0"
"beachbr01","1"
"beachja01","3"
"beallbo01","29"
"bealljo01","10"
"beallwa01","3"
"bealsto01","38"
"beamal01","0"
"beamer01","2"
"beamoch01","1"
"beamoch02","5"
"beamotr01","7"
"beamtj01","0"
"beanbe01","7"
"beanbi01","19"
"beanco01","0"
"beanebi01","20"
"beanjo01","13"
"beardda01","0"
"beardge01","14"
"beardmi01","0"
"beardol01","96"
"beardra01","1"
"beardte01","32"
"bearega01","NULL"
"bearnla01","2"
"bearske01","NULL"
"beaslch01","NULL"
"beaslle01","5"
"beatied01","25"
"beatlda01","0"
"beatope01","0"
"beattbl01","0"
"beattde01","0"
"beattji01","0"
"beaucji01","24"
"beaumgi01","137"
"beaveed01","7"
"beazljo01","6"
"becanbu01","3"
"bechlst01","NULL"
"bechtge01","60"
"beckbo01","5"
"beckcl01","72"
"beckebe01","76"
"beckebo01","1"
"beckech01","1"
"beckegl01","99"
"beckehe01","8"
"beckehe02","25"
"beckejo01","5"
"beckejo02","5"
"beckema01","5"
"becker01","78"
"beckeri01","92"
"beckero01","0"
"beckfr01","1"
"beckfr02","52"
"beckge01","0"
"beckhgo01","60"
"becklja01","121"
"beckmbi01","5"
"beckmji01","0"
"beckri01","0"
"beckro01","0"
"beckwjo01","1"
"beckzi01","42"
"becquju01","41"
"bedarer01","0"
"bedelho01","15"
"bedfoge01","1"
"bedgoph01","0"
"bediehu01","11"
"bednaan01","0"
"bedrost01","3"
"beebefr01","5"
"beeched01","69"
"beeched02","1"
"beechma01","2"
"beechro01","1"
"beelejo01","0"
"beenean01","NULL"
"beenefr01","0"
"beerscl01","0"
"beggsjo01","4"
"begleed01","12"
"beglege01","1"
"begleji01","1"
"behanpe01","4"
"behelst01","32"
"behenri01","1"
"behneme01","0"
"behrmha01","2"
"beimejo01","3"
"beirnke01","1"
"bejmaol01","52"
"belanma01","76"
"belarwa01","27"
"belchke01","4"
"belchti01","5"
"beldeir01","5"
"belinbo01","3"
"belinst01","1"
"belisma01","2"
"belisro01","0"
"belitto01","0"
"belkti01","2"
"bellast01","26"
"bellaze01","10"
"bellbe01","100"
"bellbi01","0"
"bellbu01","89"
"bellch01","3"
"bellda01","92"
"bellde01","111"
"belleal01","124"
"beller01","0"
"bellfe01","44"
"bellfr01","5"
"bellga01","8"
"bellge01","6"
"bellge02","111"
"bellgu01","104"
"bellhe01","0"
"bellhi01","5"
"bellhma01","93"
"bellicl01","33"
"bellira01","36"
"belliro01","83"
"bellja01","132"
"bellje01","0"
"belljo01","15"
"bellju01","42"
"bellke01","24"
"bellle01","85"
"bellmi01","8"
"bellmi02","5"
"bellmja01","1"
"belloed01","1"
"belloro01","11"
"bellra01","0"
"bellro01","1"
"bellru01","4"
"bellte01","0"
"belltr01","0"
"beltbr01","21"
"beltrad01","104"
"beltrca01","127"
"beltres01","21"
